中文,中国大陆,台湾,香港,澳门,新加坡
赵,ZHAO,CHAO,CHIU,CHIO,TEO/TIO
钱,QIAN,CHIEN,CHIN,CHIN,ZEE/CHEE
孙,SUN,SUN,SUEN,SUN,SOON/SNG
李,LI,LEE/LI,LEE/LI,LEI,LEE
周,ZHOU,CHOU,CHOW/CHAU,CHAO,CHEW
吴,WU,WU,NG,NG,GOH/NGO
郑,ZHENG,CHENG,CHENG,CHEANG,TAY
王,WANG,WANG,WONG,VONG/WONG,ONG/HENG/WONG/WANG
冯,FENG,FENG,FUNG,FONG,PANG
陈,CHEN,CHEN,CHAN,CHAN,TAN/CHAN/TING
褚,CHU,CHU,CHU,CHU,THI/SOO
卫,WEI,WEI,WAI,WAI,WEE
蒋,JIANG,CHIANG,CHEUNG,CHEONG,CHIO
沈,SHEN,SHEN,SHUM/SUM,SAM,SIM
韩,HAN,HAN,HON,HON,HANG
杨,YANG,YANG,YEUNG,IEONG,YEO/YEOH/YONG
朱,ZHU,CHU,CHU,CHU,CHOO
秦,QIN,CHIN,CHUN,CHUN,CHIN/CHING
尤,YOU,YU,YAU,IAO,YEW
许,XU,HSU,HUI,HOI/HUI,HEE/KOH/KHOH
何,HE,HO,HO,HO,HOR/HOH
吕,LU/LYU/LV,LU,LUI,LOI,LI
施,SHI,SHIH,SZE,SI,SI/SEE
张,ZHANG,CHANG,CHEUNG,CHEONG,TEO/TEOH/CHEONG
孔,KONG,KUNG,HUNG,HONG,KHONG
曹,CAO,TSAO,CHO/TSO,CHOU,CHOW/CHAU
严,YAN,YEN,YIM,IM,GIAM/NGIAM
华,HUA,HUA,WA/WAH,VA,HOA/HUA
金,JIN,CHIN,KAM,KAM,KIM
魏,WEI,WEI,NGAI,NGAI,GUI/NGUI
陶,TAO,TAO,TO/TAO,TOU,TAU/TOW
姜,JIANG,CHIANG,KEUNG,KEONG,KIANG
戚,QI,CHI,CHIK,CHEK,CHEK
谢,XIE,HSIEH,TSE,CHE,CHEAH/TAY/CHIA
邹,ZOU,TSOU,CHAU/CHOW,CHAO/CHAU,CHEW/CHOU/CHU
喻,YU,YU,YU,U,ZU/JOO/JU
柏,BAI,PO,PAK,PAK,PEK/PEH
水,SHUI,SHUI,SUI,SOI,CHWEE/CHUI
窦,DOU,TOU,TAU,TAO,TOU/TOH
章,ZHANG,CHANG,CHEUNG,CHEONG,CHIO/CHIOH/CHEOH
云,YUN,YUN,WAN,WAN/VAN,HOON/HUNG
苏,SU,SU,SO,SOU,SOH
潘,PAN,PAN,POON/PUN,PUN,PHUA
葛,GE,KO,KOT,KOT,KAT/KUAH
奚,XI,HSI,HAI,HAI,HEE
范,FAN,FAN,FAN,FAN,HUANG
彭,PENG,PENG,PANG,PANG,PEH
郎,LANG,LANG,LONG,LONG,LONG/LANG
鲁,LU,LU,LO,LOU,LOO
韦,WEI,WEI,WAI,WAI,WEE
昌,CHANG,CHANG,CHEUNG,CHEONG,CHIANG
马,MA,MA,MA,MA,BEH
苗,MIAO,MIAO,MIU,MIO,MIAU
凤,FENG,FENG,FUNG,FONG,HONG
花,HUA,HUA,FA,FA,HUAY
方,FANG,FANG,FONG,FONG,PNG/PUNG
俞,YU,YU,YU,U,JOO/JU
任,REN,JEN,YAM,IAM,ZIM/JIM
袁,YUAN,YUAN,YUEN,UN/IUN,WANG
柳,LIU,LIU,LAU,LAO,LEW
酆,FENG,FENG,FUNG,FONG,HONG
鲍,BAO,PAO,PAU,PAO,POW/PAU
史,SHI,SHIH,SZE,SI,SZE/SU/SER
唐,TANG,TANG,TONG,TONG,TNG/TANG
费,FEI,FEI,PEI,PEI,HWEE/HUI
廉,LIAN,LIEN,LIM,LIM,LIAM
岑,CEN,TSEN,SUM/SHUM,SAM,NGIM
薛,XUE,HSUEH,SIT,SIT,SIH
雷,LEI,LEI,LUI,LOI,LUI
贺,HE,HO,HO,HO,HOR
倪,NI,NI,NGAI,NGAI,GEH/GOI
汤,TANG,TANG,TONG,TONG,TNG
滕,TENG,TENG,TANG,TANG,TENG/THENG
殷,YIN,YIN,YAN,IAN,YAM/HNG/HEUNG
罗,LUO,LO,LAW/LO,LO,LO/LOR/LAW
毕,BI,PI,PUT,PAT,BIK
郝,HAO,HAO,KOK,KOK,HOW/HAK
邬,WU,WU,WU,VU / WU,WOO
安,AN,AN,ON,ON,ANN/ANG
常,CHANG,CHANG,SHEUNG,SHEONG,SEONG/SIONG/SIOH
乐,YUE,YUEH,LOK/OK,LOK/OK/NGOK,LAK
于,YU,YU,YU,U,YEE
时,SHI,SHIH,SEE/SZE,SI,SEE/SI
傅,FU,FU,FU/FOO,FU,POO/POH
皮,PVANI,PI,PEI,PEI,PUAY
卞,BIAN,PIEN,PIN,PIN,PIANG
齐,QI,CHI,CHAI,CHAI,CHEE
康,KANG,KANG,HONG,HONG,KANG/KHANG
伍,WU,WU,NG,NG,NG/NGOH
余,YU,YU,YU/YUE,U,EU/YEE/I
元,YUAN,YUAN,YUEN,UN / IUN,NGUANG
卜,BU,PU,PUK,POK,POK
顾,GU,KU,KOO,KU,KOH
孟,MENG,MENG,MANG,MANG,MENG
平,PING,PING,PING,PENG,PENG/PHENG
黄,HUANG,HUANG,WONG,VONG/WONG,NG
和,HE,HO,WO,VO,HUA/HOA
穆,MU,MU,MUK,MOK,MOK
萧,XIAO,HSIAO,SIU/SHIU,SIO,SEOW/SIAO
尹,YIN,YIN,WAN,WAN,UN/EUNG
姚,YAO,YAO,YIU,IU/IO,YEO
邵,SHAO,SHAO,SIU/SHIU,SIO,SHAW/SEOW/SIOH
湛,ZHAN,CHAN,CHAM,CHAM,KAM/KHAM
汪,WANG,WANG,WONG,VONG/WONG,WANG
祁,QI,CHI,KEI,KEI,KEE
毛,MAO,MAO,MO,MOU,MOH/MOR
禹,YU,YU,YU,U,WOO
狄,DI,TI,TIK/DICK,TEK,TEK
米,MI,MI,MAI,MAI,BEE
贝,BEI,PEI,PUI,PUI,PUAY
明,MING,MING,MING,MENG,MENG
臧,ZANG,TSANG,CHONG,TSANG/CHANG/CHAN,TSANG/CHANG/CHAN
计,JI,CHI,KAI,KAI,KOI
伏,FU,FU,FUK,FOK,HOK
成,CHENG,CHENG,SHING/SING,SENG,SENG
戴,DAI,TAI,TAI,TAI,TE/TO/TOR
谈,TAN,TAN,TAM,TAM,TAM
宋,SONG,SUNG / SOONG,SUNG,SONG,SONG
茅,MAO,MAO,MAU,MAO,MAU/MOW
庞,PANG,PANG,PONG,PONG,PANG
熊,XIONG,HSIUNG,HUNG,HONG,HIM
纪,JI,CHI,KEI,KEI,KEE
舒,SHU,SHU,SHU,SHU,SOO/SU
屈,QU,CHU,WAT,VAT / WAT,KUT/KUK
项,XIANG,HSIANG,HONG,HONG,HANG
祝,ZHU,CHU,CHUK,CHOK,CHOK
董,DONG,TUNG,TUNG,TONG,TANG/TONG
梁,LIANG,LIANG,LEUNG,LEONG,NEO/NIO/NIU
杜,DU,TU,TO/TAO/TOE,TOU,TOH/TOO
阮,RUAN,JUAN,YUEN,UN,NGWAN/NGUANG
蓝,LAN,LAN,LAM/NAM,LAM,NAH
闵,MIN,MIN,MAN,MAN,MIANG
席,XI,HSI,TSIK,CHEK,CHEOH/CHIOH
季,JI,CHI,KWAI,KUAI,KWEE/KUI
麻,MA,MA,MA,MA,MUA
强,QIANG,CHIANG,KEUNG,KEONG,KIANG/KHIANG
贾,JIA,CHIA,KA,KA,KA/KIA
路,LU,LU,LO,LOU,LOH
娄,LOU,LOU,LAU,LAO,LOO
危,WEI,WEI,NGAI,NGAI,NGUI/NGWEE
江,JIANG,CHIANG,KONG,KONG,KANG
童,TONG,TUNG,TUNG,TONG,TONG/THONG
颜,YAN,YEN,NGAN,NGAN,GAN/NGAN/NGANG
